Feature_Set,Feature_Name,Importance_mean,Importance_std
Texture Only,texture_pi_H0_px17,0.04997067060864394,0.004243528351622985
Texture Only,texture_pi_H0_px12,0.042216730635456015,0.0018917017061554646
Texture Only,texture_amp_landscape_H1,0.0314806699605676,0.0031724493501623105
Texture Only,texture_entropy_H0,0.028031506593169143,0.004471656202348544
Texture Only,texture_amp_heat_H1,0.028021971033100036,0.0038793710712952357
Texture Only,texture_pi_H0_px16,0.027446519883080313,0.002486131642656797
Texture Only,texture_amp_bottleneck_H0,0.025294466435596193,0.002425816931341863
Texture Only,texture_pi_H0_px18,0.023355519344470062,0.0025616067743338485
Texture Only,texture_pi_H0_px24,0.020993155408146533,0.0027641236924813026
Texture Only,texture_pi_H0_px15,0.01953558921238632,0.003239844931444276
Texture Only,texture_pi_H1_px24,0.01908009367009975,0.0028214273626222153
Texture Only,texture_amp_landscape_H0,0.018521755039334682,0.0027466029662117286
Texture Only,texture_pi_H0_px7,0.01848190651350328,0.004311745589299363
Texture Only,texture_amp_betti_H1,0.018135697522647858,0.0020741259051871514
Texture Only,texture_betti_curve_H0_bin6,0.017669957300675332,0.001386068599119122
Texture Only,texture_amp_betti_H0,0.017555575151068578,0.0022642261452276613
Texture Only,texture_pi_H0_px5,0.01655815458118262,0.002639035723618828
Texture Only,texture_betti_curve_H0_bin4,0.0153218599820471,0.0019307718819279846
Texture Only,texture_amp_wasserstein_H0,0.01520053951994764,0.0021206085356727743
Texture Only,texture_pi_H0_px11,0.015140447437598764,0.001022639697229303
Texture Only,texture_betti_curve_H0_bin7,0.013883315848315828,0.0016020162303253412
Texture Only,texture_amp_heat_H0,0.013851188544974562,0.000980432539149882
Texture Only,texture_pi_H1_px21,0.013520322448689632,0.0026689029551916956
Texture Only,texture_entropy_H1,0.01319331919521459,0.001017545732463006
Texture Only,texture_pi_H0_px21,0.012868547754792774,0.0012961262009647029
Texture Only,texture_pi_H1_px22,0.011828219286663355,0.0006851294054054617
Texture Only,texture_betti_curve_H0_bin5,0.011741801709017322,0.0016224545775344996
Texture Only,texture_pi_H1_px12,0.011685068187916911,0.0005929165133321368
Texture Only,texture_pi_H1_px23,0.011631402636545022,0.0009052861873414913
Texture Only,texture_pi_H0_px20,0.011462250116411683,0.001819444876145166
Texture Only,texture_pi_H0_px23,0.011216282967109756,0.001265994287111164
Texture Only,texture_betti_curve_H1_bin5,0.011169853380094377,0.001067996680997357
Texture Only,texture_pi_H0_px22,0.011140970865313227,0.0011654998328689556
Texture Only,texture_pi_H1_px20,0.010575141695714795,0.0017531799844803296
Texture Only,texture_betti_curve_H0_bin3,0.010409112590942075,0.0011092627409874474
Texture Only,texture_pi_H1_px16,0.010346538862188188,0.0010594408242267557
Texture Only,texture_pi_H1_px17,0.010049217057494095,0.0006908214089645235
Texture Only,texture_betti_curve_H1_bin6,0.009971102361443027,0.002031480539388915
Texture Only,texture_pi_H1_px15,0.009941940288384733,0.0009648636516127738
Texture Only,texture_betti_curve_H1_bin7,0.009900086128793293,0.0019434026667522872
Texture Only,texture_betti_curve_H0_bin2,0.009849335036264726,0.001315207685029373
Texture Only,texture_amp_bottleneck_H1,0.009321177653526906,0.0013111002874627064
Texture Only,texture_betti_curve_H1_bin4,0.00913760230325913,0.0011599514413329559
Texture Only,texture_betti_curve_H0_bin1,0.008998054081234722,0.0012847544046222733
Texture Only,texture_pi_H1_px18,0.008995100775839183,0.0013892846900835731
Texture Only,texture_pi_H1_px11,0.008954343263477766,0.0008500677981874506
Texture Only,texture_pi_H1_px0,0.008613162086295312,0.0030628375639339496
Texture Only,texture_betti_curve_H0_bin8,0.008545890963950455,0.0009457623778881945
Texture Only,texture_pi_H1_px10,0.008403102831192645,0.0010670772271899368
Texture Only,texture_betti_curve_H1_bin3,0.008249087542981832,0.0006191943879068908
Texture Only,texture_pi_H0_px0,0.008215430897335448,0.0007092654161828509
Texture Only,texture_pi_H0_px6,0.008043910145105576,0.0016168611537658586
Texture Only,texture_pi_H1_px1,0.008022509309338823,0.0020611415706614706
Texture Only,texture_pi_H1_px6,0.007432689410263027,0.001172524014245511
Texture Only,texture_betti_curve_H1_bin8,0.00735276365549468,0.0005008144851245139
Texture Only,texture_betti_curve_H1_bin2,0.0070857194127566985,0.0007022892500378656
Texture Only,texture_betti_curve_H1_bin1,0.006932796454409765,0.0005870261864672476
Texture Only,texture_pi_H1_px7,0.00637656601173564,0.00024652610455266227
Texture Only,texture_pi_H0_px1,0.006343631233122847,0.0011539934785088424
Texture Only,texture_pi_H0_px13,0.005991965636460673,0.0011103406876953618
Texture Only,texture_pi_H1_px5,0.004801836629203865,0.0010584512151401645
Texture Only,texture_pi_H1_px13,0.004062797220342764,0.0008299433332917552
Texture Only,texture_pi_H0_px19,0.0024098023365880933,0.000361591119456875
Texture Only,texture_pi_H0_px2,0.0022027902231767397,0.0006491570624943254
Texture Only,texture_betti_curve_H0_bin0,0.0018621479674989058,0.0005391971703548749
Texture Only,texture_pi_H0_px8,0.001838857164653957,0.000584041312352814
Texture Only,texture_betti_curve_H1_bin0,0.0011980026023673917,0.00031733767656578734
Texture Only,texture_pi_H1_px2,0.0011089460688940933,0.00023957381032095818
